t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs
0,0.247312751090581,4.6935778246493,-0.000827572199452301,9.75101154011536e-05,0.000173577754207129
9.5,NaN,NaN,NaN,NaN,0.000163319802995623
15,0.0104579324712695,4.8665250981819,0.0361915175939433,NaN,NaN
20,NaN,NaN,NaN,0.000350528406278207,0.000175957194845889
25,0.0174430723795108,NaN,NaN,NaN,NaN
30,NaN,NaN,0.0328154625739186,NaN,0.000173271761631961
35,NaN,4.23029565072647,NaN,NaN,NaN
40,0.0221832715532332,NaN,NaN,0.000419572411574716,NaN
45,NaN,NaN,NaN,NaN,0.000156885165231915
50,NaN,NaN,0.0254537481390159,NaN,NaN
55,0.0289802320916045,4.47813702087174,NaN,NaN,0.000140830282865455
65,NaN,NaN,0.0231991979240441,0.000279716015195216,NaN
70,0.0352811347348866,NaN,NaN,NaN,0.000163493671642963
75,NaN,3.90953365552456,NaN,NaN,NaN
90,0.046285258793636,NaN,0.0187099171593422,0.000289780484535226,0.00016748499319176
95,NaN,4.9518695120956,NaN,NaN,NaN
100,0.0415315696791456,4.17866293652117,0.017741609201253,0.000330610643920553,0.000179722719129618
150,0.0534385951120315,3.92062014720616,0.0186127145614905,0.000278506123770969,NaN
200,0.0560819547922055,4.09205117179723,0.0180853918931481,0.000253875397307382,NaN
250,0.0532588919275004,4.96098550167326,0.0164738438301962,0.00025378087254883,NaN
300,NaN,4.30737154914363,NaN,0.000280899444748741,NaN
