t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs
0,1.83051385621244,4.36043110620376,0.00481791909805216,2.63778431372632e-05,0.000240140597552177
15,0.163819793056141,NaN,0.602972369209412,NaN,0.00134134143239372
20,NaN,2.65735823564804,NaN,NaN,NaN
25,NaN,NaN,NaN,0.00476778515249426,NaN
30,0.201400980085857,NaN,0.347224586282566,NaN,0.00032068837267721
45,NaN,2.45013080571724,NaN,NaN,0.000251239706382838
50,0.140102327768247,NaN,0.440852230674581,NaN,NaN
55,NaN,NaN,NaN,0.00263690427754741,NaN
60,NaN,NaN,NaN,NaN,0.000358052486980775
65,0.250438998202164,3.16994775853719,0.249009517402465,NaN,NaN
80,NaN,NaN,NaN,NaN,0.00024650970536161
85,0.271387244385981,NaN,0.266230394861248,0.002868812091831,NaN
90,NaN,3.04067582412214,NaN,NaN,NaN
100,0.323594850239403,4.2084826727793,0.249444341271126,0.00315427692440347,0.00029387860657422
150,0.316520750427866,2.93156236309918,0.207326870289031,0.00219574463968123,0.000254288778395873
200,0.429318064164618,3.31280358595303,0.155254215443731,0.00246480652513675,NaN
250,0.383902432749766,4.22528515318606,0.20346027263733,0.00190543069484897,NaN
300,0.314429134431631,4.03475465108188,0.190396298352345,0.00136253714087754,NaN
350,NaN,4.51928227646969,NaN,NaN,NaN
400,NaN,3.76876947200141,NaN,0.00170459252558581,NaN
