t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,5.12405277268555,36.4788444731852,0.000642369780446639,2.70375858502539e-05,0.00494182694879302,0.00410007673002816,0.00540012524002391
10,3.76431828593341,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,41.1817899663119,0.0375324577500969,NaN,0.00335827031827367,0.00412867584048632,0.00473632346120285
20,NaN,NaN,NaN,0.000181802604834235,NaN,NaN,NaN
25,4.98687983001092,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,54.9368165450889,0.0516291134199805,NaN,NaN,NaN,0.00364708728280354
35,4.84405028768323,NaN,NaN,0.000247099015926976,0.00429721108501825,0.00496808970565041,NaN
45,NaN,58.5400653698434,NaN,NaN,NaN,NaN,NaN
50,4.94689312384781,NaN,0.0450191082552886,NaN,0.00376550609606375,0.0043385478672551,0.00320958470262047
55,NaN,NaN,NaN,0.000351523745307502,NaN,NaN,NaN
65,5.23878251219832,35.1928643513031,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,0.0332802063579008,NaN,0.00465715360009055,NaN,0.00429399839459234
75,NaN,NaN,NaN,0.000384081991268711,NaN,0.00417197416614038,NaN
85,4.87269926721475,42.5968127587074,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0229516131716719,NaN,0.0037477163459709,NaN,0.00504541305945753
95,NaN,NaN,NaN,NaN,NaN,0.00577219639493342,NaN
100,5.48163369066063,39.0811989938187,0.0259472532256489,0.000275107507598929,0.00399377622391725,0.00376728519118207,0.0045557662500363
150,5.61865974822937,41.2675805498213,0.0247083094006173,0.000220447279991852,0.00447361415201128,0.0028914424642965,0.00477565742069378
200,4.46517902968073,33.1197553794884,0.0235973618648764,0.000243828312010968,0.00310053222483106,0.00584478964199792,0.0034813974332411
250,NaN,40.2707964374694,0.0223016924643707,0.000211530714170231,0.00503408476393098,0.00458020998823038,0.00411230453668748
300,NaN,36.1840455674378,0.0167186234770266,0.00020929728122719,NaN,NaN,NaN
