t,CISHnRNA3_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,0.000107918985407302,0.00396368882907908,0.00415228624830705
4,NaN,0.00351253967654846,NaN
5.5,NaN,NaN,0.00365196305358353
6,0.000101527220335345,NaN,NaN
8.5,NaN,0.00225921199490336,NaN
10,7.6309168478653e-05,NaN,0.00246634694965004
15,NaN,0.00112806956610768,0.00154664661557955
20,4.52158602888194e-05,0.00119921542418424,NaN
25,3.76436304802177e-05,0.0010171424515931,0.00122190503361274
30,NaN,0.000989892631902109,0.00102990877175543
35,2.78363908108576e-05,0.0007346447969427,NaN
40,3.19775640872148e-05,NaN,0.00111448055676467
45,NaN,0.00130353390977829,0.00102836144423434
50,2.28988383984077e-05,NaN,NaN
55,NaN,0.00104058960217626,0.00100295616704134
60,2.3254974368487e-05,NaN,NaN
65,NaN,0.00111283768751482,NaN
70,NaN,NaN,0.000898311134912107
75,2.48170367231054e-05,NaN,NaN
85,NaN,NaN,0.000910088858487112
90,2.82682305387456e-05,NaN,NaN
