t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs
0,1.87441614887857,4.38198207828269,-0.00656757454938629,-0.593017826484805,0.000270176182871514,0.000195861794712674
15,0.0539292311154182,2.41476844440388,NaN,6.95807398645269,NaN,0.0014058459614895
20,NaN,NaN,0.480701459445701,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,0.00458386053192975,0.000424213733423141
30,NaN,2.8234425660722,NaN,7.22575134359876,NaN,NaN
35,0.14981050909438,NaN,0.380402372242213,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.000361541314924351
45,NaN,NaN,NaN,6.67141578789503,NaN,NaN
50,NaN,2.88473212092528,NaN,NaN,NaN,NaN
55,0.24248341578219,NaN,0.334661813004852,NaN,0.00350525025088068,0.000278606912564944
65,NaN,NaN,NaN,6.00287380756764,NaN,NaN
70,NaN,2.55713871625262,NaN,NaN,NaN,NaN
75,0.303409012762441,NaN,NaN,NaN,NaN,0.000308967143558663
80,NaN,NaN,0.301627047743803,4.64269826639344,NaN,NaN
85,NaN,NaN,NaN,NaN,0.00263851089842526,NaN
90,NaN,3.62098383707344,NaN,NaN,NaN,NaN
95,0.296884239694384,NaN,NaN,NaN,NaN,0.00019955044234901
100,0.282909454882885,3.84832458749015,0.25424424479307,3.96023419051648,0.00275873060089579,0.000238122217575432
150,0.34246097744832,3.20495477252276,0.211078101651149,3.29995731499537,0.00207844465464183,0.000191198294067653
200,0.421821967259896,3.3708001714698,0.185790060105563,3.28383314813106,0.00202662057672604,NaN
250,0.422300609035147,3.70110832004907,0.149439204979943,2.87891700882446,0.00197711188231165,NaN
300,0.481483759829112,3.6169155289234,0.183699166624361,3.49430946679546,0.00148183088821186,NaN
350,0.482402795294422,3.65713738692685,0.197779019336787,NaN,0.00187475130068713,NaN
450,NaN,NaN,NaN,NaN,0.00157613235589577,NaN
