t,nSTAT5_Obs,CISHnRNA3_Obs
0,-0.616950038549195,0.000196267201807562
40,7.62476195455005,NaN
75,NaN,0.00309863134097253
80,5.56539578335095,NaN
150,4.71309242240288,0.00239746366517522
200,3.62418900010607,NaN
250,NaN,0.00232324155038079
300,4.44994255854609,0.00203507991713229
350,4.19664272612735,NaN
400,NaN,0.00154760941166064
450,2.42614829728604,NaN
500,3.17679357803727,0.00242711727289551
650,3.76042696057871,0.00249195450306663
750,4.27903516419453,NaN
800,NaN,0.00218796852037783
950,NaN,0.00205668645647026
1000,NaN,0.00145679534774546
