t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,6.58751939761109,40.4106017082172,0.33640042659603,-0.00110984484833753,0.000735837464571263,0.00281591005462992,-8.6538524558149e-05
10,NaN,NaN,25.8478880146957,NaN,NaN,NaN,NaN
15,3.60223829290405,3.68105197266557,NaN,NaN,NaN,NaN,0.0051480270328374
20,NaN,NaN,NaN,0.0127010820683244,0.0228819265191579,0.0133259479200376,NaN
25,NaN,NaN,19.5361414721613,NaN,NaN,NaN,NaN
35,4.47234712040983,-0.327532173630917,14.9456067809198,0.0203360451416367,0.0277646575204905,NaN,0.0241881900368249
40,NaN,NaN,NaN,NaN,NaN,0.0260702399265219,NaN
50,3.47107292775361,15.2476116987504,10.1756152380167,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.0210576723243737,0.0214000904858074,NaN,0.0249126492527325
60,NaN,NaN,NaN,NaN,NaN,0.0214473043271791,NaN
65,NaN,NaN,4.63760819002515,NaN,NaN,NaN,NaN
70,3.72217719806529,29.1885187018388,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.017429581156448
80,NaN,NaN,4.06443851484778,0.0103574838069177,0.0125088701549246,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,0.0113597829157208,NaN
95,3.60501250571515,36.6656763932087,NaN,NaN,NaN,NaN,NaN
100,4.62023525015824,27.6553164228716,4.63301919412269,0.00896542176806132,0.00578435958268728,0.00881547585869633,0.00738048545714796
150,5.41255397571459,27.923890065433,7.56913812924261,0.00695291182585645,0.0078335692518016,0.00654040762355945,0.00831488137483634
200,3.84945936116605,37.4445128395626,6.49920321063287,0.00253114936176887,0.00898739445220478,0.00764814577159997,0.00793382250448275
250,4.31307673089075,28.6070347403434,NaN,0.00598982071840802,0.00751251854056782,0.00670253486368331,0.00978548078338383
350,NaN,38.5380609447094,NaN,NaN,NaN,NaN,NaN
