t,nSTAT5_Obs,CISHnRNA3_Obs
0,-0.0454759985857139,7.23993226065718e-05
45,6.35284641969545,NaN
65,NaN,0.00335126032092124
85,5.09488275284277,NaN
150,3.9175255872492,0.00230632378356373
200,3.932786788461,0.00209687731707897
250,3.2881743582166,0.00158908814723002
300,3.18080503301069,NaN
350,2.74140860263311,0.00215426510705286
450,2.06372573146158,0.00134493252153636
550,2.54899401671808,0.00224531707294715
650,2.43759711121693,NaN
700,NaN,0.00176184815742769
800,2.4665764832292,NaN
850,NaN,0.0016104866465187
1000,NaN,0.00185765627953208
