t,epo_level,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
180,2.5e-09,0.00690006977800615,0.0187671845021749
180,2.5e-09,0.00790751900080604,0.00114321195474374
180,2.5e-09,0.00987952493575728,0.00392613702883247
180,2.5e-08,0.0111052260850651,0.0115538431970088
180,2.5e-08,0.0118362149032268,0.00972623150078056
180,2.5e-08,0.0156401692400075,0.011874289300184
180,1.25e-07,0.0228188912045016,0.0190671897652047
180,1.25e-07,0.0244351874721641,0.0226796800224865
180,1.25e-07,0.0309449760474111,0.02871468057893
180,2.5e-07,0.0209370622849016,0.0285877710150084
180,2.5e-07,0.0246126357943641,0.0284667572479322
180,2.5e-07,0.0281205921449473,0.0242654399016664
180,2.5e-06,0.0377662917638192,0.0408308146617249
180,2.5e-06,0.0388812384655739,0.0343418141367956
180,2.5e-06,0.0491934486949397,0.0366489068272369
