t,CISHnRNA3_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,1.58267839673603e-05,0.000165961766441157,0.000160926514570688
40,NaN,0.000333993786351391,NaN
45,NaN,NaN,0.000300261097843413
60,0.00341671190374497,NaN,NaN
85,NaN,0.000236580955055252,NaN
90,NaN,NaN,0.000223152092318441
100,0.00240038910850185,NaN,NaN
150,NaN,0.000208158902866426,0.000194639285898583
200,0.0021201999913525,0.000185315317485526,0.000163665855229358
250,0.00171087623010668,0.000168739886824413,0.000177247904330225
350,0.0015886154159366,0.000196717692814287,0.000165081990588144
450,0.00187603341889764,NaN,NaN
550,0.00175909899973676,NaN,NaN
650,0.00180005205374949,NaN,NaN
800,0.00149929431706103,NaN,NaN
1000,0.00155781520078229,NaN,NaN
