t,EpoRJAK2_Obs,STAT5_Obs,CISHnRNA2_Obs
0,5.23066144106679,36.5902476119248,-0.00610618664994784
5.5,0.550793898030728,NaN,NaN
8,NaN,-1.22900194863213,NaN
10,1.88278685556909,NaN,0.013430358760419
15,2.11965123544682,2.67300835457353,NaN
25,3.20319920128244,8.93550247750628,0.0979075090068302
30,4.51469949773721,NaN,NaN
35,4.17287173398064,12.3029463452513,0.093093619419635
40,NaN,12.0815529327857,NaN
45,3.8675668074151,NaN,NaN
50,NaN,NaN,0.11020512540819
55,3.46870669631183,24.2899713169701,NaN
65,4.33216073244029,25.439430306435,0.0653219454654041
80,3.86823055547207,32.1292042640263,0.0544869115078374
95,3.28025984674101,30.4147561915591,NaN
100,NaN,31.1311938962594,0.0261029764816046
150,NaN,31.1601076195736,0.0241121939266639
200,NaN,NaN,0.0422379087461459
