t,EpoRJAK2_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,CISHnRNA2_Obs,CISHnRNA3_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs
0,5.24923821828113,40.6366196110287,0.311664537501661,0.129326937047929,-0.00345117720125923,0.0022815835119703,0.00376130272937139,-0.162466272446133,0.0100356847159241,0.00122617613064251,0.00041671732595517
20,NaN,13.232579939849,20.3541862371315,4.21744373275642,NaN,NaN,NaN,NaN,NaN,NaN,0.0358684685383452
25,NaN,NaN,NaN,NaN,0.0524767050909441,0.0480987459162093,-0.00420470380884273,NaN,0.0968467817365358,0.0782889426686647,NaN
30,4.76667027773778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.37599385729518,NaN,NaN,NaN
40,NaN,11.0393941330859,10.0850739368655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,7.06954092811841,0.0837148008549816,NaN,NaN,NaN,NaN,NaN,0.101392050218916
50,NaN,NaN,NaN,NaN,NaN,0.0767168826170697,0.117347482391655,NaN,0.077927463620367,0.0937718923861311,NaN
65,4.65799568428981,38.0578600354945,3.09555116203818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,4.81034421228027,NaN,NaN,NaN,10.1630045495853,NaN,NaN,0.0684346316238446
75,NaN,NaN,NaN,NaN,0.0483881546852704,0.0522632390768096,NaN,NaN,0.0531188975154011,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,0.178296799348301,NaN,NaN,0.0573636493660207,NaN
85,NaN,NaN,2.7574482171524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,31.8142501378058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,3.39841179177119,NaN,NaN,NaN,NaN,NaN,NaN,0.0422085959109082
100,3.88601341127455,41.8541638483194,1.98169680374478,NaN,0.0244976055087347,0.0332890881912228,0.15102188692834,18.0177656823368,0.0350625835185147,0.0303301650663678,NaN
150,5.14890680304712,43.1420418260666,2.21129502940837,1.3350642192673,0.00992992421016683,0.00841013304674087,0.0491986492998038,18.7259193144681,0.0214495628635855,0.0297613090336367,0.0127411820523135
200,4.61840370307816,41.6749506707044,1.60183708172503,1.35179350660028,0.0254170146358665,0.0305873523848568,0.0435884899029125,13.9359868289797,0.0238050206886418,0.026053433912095,0.00641440468199902
250,3.44260634224447,41.5065499964837,3.01150306289074,1.55895653603822,NaN,0.0128692300890121,0.0356500195903555,11.508876860756,0.0229089989795892,0.017460731896571,0.0226831558299304
300,4.48344882706924,NaN,2.61327433953339,NaN,0.0187156754594535,0.0153536372583784,0.0418640649903097,NaN,0.00615549646463944,NaN,NaN
350,NaN,34.3713591108666,NaN,NaN,NaN,NaN,NaN,8.18078442169054,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.633428691201,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.31273189874373,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.22657064257209,NaN,NaN,NaN
