t,GFP_Obs,X_mRNA_Obs,Compound_1_Obs
0,-2.98319582019455,295.995578674335,3810.35456047311
25,8.89067491604725,-2.0153042488955,NaN
30,NaN,NaN,33481.1543685054
50,6.27544907408154,2.83202950317784,NaN
65,NaN,NaN,12954.6677863382
75,NaN,0.990912152782633,NaN
80,9.0769820923226,NaN,NaN
100,21.4831887411154,-1.29286056404369,6191.35096951495
150,42.8617359693802,5.89289906999944,3166.77838472567
200,20.7047973080987,0.763468367517443,2492.49570816813
250,18.1457506084581,NaN,3279.13691546591
300,86.3038904792317,-0.679464651968201,3809.80250268015
350,NaN,2.22027560334045,2908.20537508256
400,25.4379314324613,NaN,2751.50586293514
500,NaN,NaN,2761.07076503989
