t,STAT5B_Obs,Compound_1_Obs,Compound_2_Obs
0,46.6926519942418,68.7125970184623,47.3955651540896
15,15.799112798571,255.01599119689,328.712884132769
30,9.75497969664941,130.173665907722,120.372078818266
40,16.6204878362741,NaN,NaN
45,NaN,146.946088565204,319.269686561084
60,14.2650329048835,81.4379971564262,150.90643483608
75,9.58559243783643,347.198822778407,NaN
80,NaN,NaN,658.805672046053
95,22.899119238044,152.876700546522,NaN
100,32.8511052071684,127.167212697476,405.237185167765
150,6.50806742550288,89.1893315674585,269.314653306444
200,17.0268096350014,45.5433293540396,231.648715080135
250,13.9794265946971,26.5851774319888,96.7632552881016
300,31.5673828991509,59.9680738110428,365.609466996125
350,22.6957675487273,27.0509244791792,66.9254423776749
