t,IPR_I1_Obs,IPR_A_Obs
0,8.89917595282492e-11,0.00115232656665427
0.15,NaN,0.715790419642084
0.3,2.97829431216797e-07,NaN
0.35,NaN,0.657577421228337
0.55,2.59064729455425e-07,0.575657051251533
0.75,NaN,0.293863811862535
0.85,1.43256806687215e-07,NaN
0.95,NaN,0.354260770962222
1,8.03966001234003e-08,0.373736358703272
1.5,6.43765478528207e-08,0.318275446792247
2,3.22949175418424e-08,0.369521646996491
2.5,1.59104928943312e-08,0.446505955013326
3,8.27906869058392e-09,0.393868569175534
3.5,5.96582543141228e-09,NaN
4,1.85335399336607e-09,NaN
5,7.62647316482537e-10,NaN
