t,IPR_I1_Obs,IPR_A_Obs
0,7.66674325201207e-12,0.00074480228889563
0.1,NaN,0.751309916655108
0.25,NaN,0.649346155961034
0.4,NaN,0.354746681716082
0.5,NaN,0.307838470467495
0.65,NaN,0.3039093529944
0.85,NaN,0.352766632418306
1,NaN,0.261067196499667
1.5,3.84930105664009e-08,0.247393827111243
2,NaN,0.288461424050757
2.5,NaN,0.205233293613094
3.5,2.09216870812917e-09,NaN
5.5,1.77941921247482e-10,NaN
7.5,1.66521843642065e-11,NaN
10,1.02717683391822e-11,NaN
15,8.26805551713775e-12,NaN
20,1.38665416198967e-11,NaN
