t,IPR_I1_Obs,IPR_A_Obs
0,1.02073446503201e-10,0.00118498742307664
0.2,NaN,0.727634345673542
0.25,2.20041666710133e-07,NaN
0.35,NaN,0.549115757113648
0.55,8.77354747314642e-08,0.694941525651198
0.75,NaN,0.450216389100026
0.8,7.40769691737558e-08,NaN
1,7.5409705612875e-08,0.437898452209489
1.5,2.74288873527384e-08,0.441132900711567
2,1.08224569811161e-08,0.453967309160409
2.5,1.28545506610598e-08,0.381176365710144
3,4.4776853496055e-09,0.406709912993209
4,1.2320512055602e-09,NaN
4.5,6.4015453110334e-10,NaN
5.5,2.86882753189983e-10,NaN
