t,IPR_I1_Obs,IPR_A_Obs
0,8.46571149841344e-12,0.000852910853452137
0.1,NaN,0.976686507454043
0.25,NaN,0.570442104416512
0.4,NaN,0.435967277556751
0.5,NaN,0.597365369051811
0.7,NaN,0.291556796697974
0.85,NaN,0.306403135775905
1,NaN,0.295663590463042
1.5,NaN,0.261358807078825
2,2.81776684699462e-08,0.329953661373506
2.5,NaN,0.30677818988132
4,1.11375693850907e-09,NaN
6.5,4.29512010147794e-11,NaN
9,1.95176624965547e-11,NaN
10,1.6623393822846e-11,NaN
15,1.44134957753122e-11,NaN
20,1.04656630799114e-11,NaN
