t,IPR_I1_Obs,IPR_A_Obs
0,1.04835152697542e-09,0.000830352055219691
0.2,NaN,0.695383887427794
0.3,6.68805492891236e-07,NaN
0.35,NaN,0.648851909391246
0.55,NaN,0.59217987933097
0.6,3.11449520983798e-07,NaN
0.75,NaN,0.456633068193765
0.9,2.21147066750656e-07,NaN
1,3.04706957858711e-07,0.573858700700266
1.5,1.30846429431197e-07,0.391574765128477
2,6.06187530497246e-08,0.371273470245219
2.5,2.88035658299747e-08,0.437794853971828
3,1.39092396847619e-08,0.453603540829014
3.5,6.64491523682772e-09,0.50131840281234
4,3.40469769666929e-09,NaN
5,2.78800380969443e-09,NaN
6,1.23577751740304e-09,NaN
