t,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs
0,0.850761947710729,0.414079420316052
15,NaN,0.689996646315211
20,0.17056510660162,NaN
30,NaN,0.215359321649798
45,0.180312419147535,0.370017586750863
60,NaN,0.514553349263184
65,-0.207955950354353,NaN
80,NaN,0.437750792166503
90,0.00391743438967537,NaN
95,NaN,0.656225916197964
100,0.126972274128545,-0.0501250512000578
150,0.44960351252415,-0.152062107537722
200,0.172505937317204,0.199492743116454
250,0.226019494232931,0.158959183886825
300,-0.104491018611173,-0.0655198190846745
350,-0.0951891922662133,NaN
400,0.410550807517665,NaN
450,0.407923371227126,NaN
550,0.369800621495701,NaN
