t,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs
0,1.32182509686492,1.11989480782129e-06
25,NaN,-4.85417071874922e-08
30,1.07743360652532,NaN
50,NaN,-5.29628005414509e-07
60,1.05498775377279,NaN
75,NaN,1.4535905897938e-06
90,0.401527372678044,NaN
100,NaN,1.98922955197685e-06
150,0.0663467260048842,6.19871294748478e-07
200,0.0944794437557259,1.02357302910557e-06
250,0.592984107975688,9.98136963476979e-07
300,0.223711714218151,NaN
350,NaN,3.40538237042348e-07
400,-0.154528305715672,5.2124430458461e-08
450,-0.0302798129019827,NaN
500,NaN,1.1179913807628e-06
550,-0.00808175368719818,NaN
600,NaN,1.88311586085635e-06
