t,Reelin_input,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs
26,0,0.711160073693817,0.602052811266843
26,0.00012207,0.696184486060934,0.488096826252221
26,0.00024414,1.11021532588232,0.451107911569874
26,0.00048828,1.35026609005577,0.187854490137443
26,0.00097656,1.37981187767409,0.542589660083927
26,0.0019531,0.984082231697927,0.0341796985214614
26,0.0039062,0.0983384825108694,0.439419117662565
26,0.0078125,-0.363700074555343,0.67943717774062
26,0.015625,-0.0831085393298017,0.71565542853412
26,0.03125,0.0740209822637284,0.572506661432388
26,0.125,0.160513731558832,0.442012955791421
26,0.25,-0.240201415524212,0.568902952234671
26,0.5,-0.106470194047023,0.647699526511244
26,1,0.170274739618585,0.738429223919832
