t,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs
0,-1.27974093822419,1.88361376017829e-07
4,NaN,2.19871015020225e-07
9,NaN,2.36676749410681e-07
15,NaN,1.66405596000355e-07
20,NaN,2.21782119494902e-08
25,0.57809994271064,2.599104026454e-07
35,NaN,1.87265616064458e-07
50,1.47658602343149,NaN
75,1.28760148656647,NaN
100,0.605557053897226,NaN
150,2.58412784401127,NaN
200,1.2812812819193,NaN
250,-0.499259923658183,NaN
300,3.0908432733772,NaN
350,0.786543284976152,NaN
450,5.03551505270732,NaN
550,3.83370057918032,NaN
