t,ApoER2_Dab1_Obs,ApoER2_Dab1_released_Obs,SFK_Obs
0,0.910527655183164,0.143960619772539,0.00246641779241521
8,0.0550604645295947,NaN,NaN
15,-0.288295890133575,1.0130439368162,0.00644305042062687
25,-0.000692478299544413,NaN,NaN
30,NaN,0.476457200660334,NaN
35,-0.133978226278129,NaN,0.0019802049686143
45,NaN,0.393137510748687,NaN
50,0.00791863001373791,NaN,0.00713378914274131
60,NaN,0.618701292189826,NaN
65,0.0054497921887271,NaN,NaN
70,NaN,NaN,0.00560908637069999
75,NaN,0.441911727407729,NaN
80,0.0954506698979538,NaN,NaN
95,NaN,0.0539200543485673,0.00583870513010223
100,NaN,0.127002484672532,0.00350996280642129
150,NaN,0.0473784385702885,0.00286469433544013
200,NaN,-0.0932169107220516,0.00453600830853601
250,NaN,0.172444015096737,0.00217525090836359
