t,SFK_Obs,Compound_1_Obs
0,0.00117844150883749,0.963219436434763
20,7.30787150236709e-05,NaN
25,NaN,0.7509524904048
40,0.000318343042622148,NaN
50,NaN,0.509264784629862
60,0.000572356008102516,NaN
80,0.000698992743771174,0.374743675766797
100,0.000905827281410233,0.221513084712158
150,0.000985332063998103,0.140322703191464
200,0.000982293447427607,0.087954115839695
250,0.0015124423094231,0.0386611302889228
300,0.00204081099183274,0.0385648300863956
350,NaN,0.0324860130675298
450,NaN,0.0336479942097325
550,NaN,0.0344216845098451
