t,Reelin_input,Compound_1_Obs,Compound_2_Obs
16,0,0.868860116842168,0.00263937645417152
16,0.00012207,0.867617160782404,0.00223172349276834
16,0.00024414,1.01210122303837,0.00259220685724317
16,0.00048828,0.910239733166661,0.00270054145793656
16,0.00097656,0.915939482128346,0.00269740591673635
16,0.0019531,0.847721048378778,0.0019315647614104
16,0.0039062,0.702075063670344,0.00228950356872615
16,0.0078125,0.380762075394357,0.00205090900965701
16,0.015625,0.462280766393562,0.00248398135709179
16,0.03125,0.140042659831572,0.00188953342351088
16,0.125,0.157723054431533,0.00164633627580352
16,0.25,-0.0241974850012293,0.00113751932796433
16,0.5,0.0504429273862497,0.00241485144731502
16,1,-0.0104909776847958,0.00129603523152606
