t,Compound_1_Obs,Compound_2_Obs
0,1.01668601929921,0.00244000827257162
25,0.49203140003167,NaN
30,NaN,0.00198258390694293
55,0.117006215427974,0.00243544728169455
80,0.463039487320314,NaN
90,NaN,0.00217288324026191
100,0.369159195643345,0.00272993731933664
150,0.418591878772509,0.0020119139463282
200,0.554904125331958,0.00261365004931563
250,0.583244244115536,0.00280901956760136
300,0.518867397984735,NaN
350,NaN,0.00276914231923113
400,0.611484793996312,NaN
450,0.630199706398538,NaN
600,0.933719002767346,NaN
