t,Compound_1_Obs,Compound_2_Obs
0,1.44501274677435,-0.821935127943709
25,1.24527893721819,NaN
30,NaN,0.91063048790694
55,1.67066290813126,0.506298472617647
80,2.2207573978999,NaN
85,NaN,1.03974808151165
100,1.59561774740949,0.969858742833784
150,2.30368212677217,1.5931624151342
200,2.80451651695808,2.19768694241951
250,3.55098128123591,1.85439318884946
300,NaN,2.28922315057348
350,2.92941184120303,NaN
400,4.55554996441104,3.41151892523055
450,NaN,3.77517621118504
500,4.50714134923615,NaN
600,6.04016574838082,4.36979854509021
