t,IR2_Obs,Uptake1_Obs,Uptake2_Obs
0,0.0100282135537426,0,0.0989017054194077
6.5,10.3214742909241,NaN,NaN
9.5,NaN,4.97834693317441,28.7346293166448
15,9.69817712439364,NaN,NaN
20,9.44651073683698,7.68821480257638,43.9935823650358
30,8.81847763356461,9.85103802397098,53.0486967149178
35,9.24859834528603,NaN,NaN
40,NaN,10.5010558946174,53.8887508676323
45,10.1475033746554,NaN,NaN
55,9.11316331529288,13.5306635947742,65.8894523943091
65,10.3961379769766,14.4317076549236,70.0403536002495
80,9.1802358687067,13.5069200670303,75.8892191829035
95,9.41515461408668,NaN,NaN
100,8.77079126245259,16.4481399795701,78.985156085837
150,8.62629439298692,23.3149459032256,92.8429747080071
200,NaN,29.3636529367366,126.09694623711
