t,IR2_Obs,Uptake1_Obs,Uptake2_Obs
0,0.00105579939154705,0,0.00985749690416364
9,0.999347656738125,NaN,NaN
9.5,NaN,0.584535227432326,2.85301388084719
20,0.926129257050493,0.981570331906428,4.52928255936268
30,1.00654319474127,0.94756683345847,5.52743403948307
40,0.965030883641409,1.22601133301567,5.46935333423416
50,1.05453701171052,1.43925139909911,6.85982905175863
60,0.854674291854171,NaN,NaN
65,NaN,1.49262614864717,6.83881258541319
75,0.86627868274473,NaN,NaN
80,NaN,1.76418552233855,8.21431189993044
90,0.914361321850812,NaN,NaN
100,0.953739786631602,2.20325338264547,9.59840443417339
150,0.713291664897501,2.78506011071831,12.0252640138193
200,0.792789212117596,3.38483998764391,12.6437320129973
