t,IR2_Obs,Uptake1_Obs,Uptake2_Obs
0,0.106744771967467,0,0.89431537134556
4.5,71.9034746730171,NaN,NaN
8.5,NaN,NaN,195.427712830491
9,63.7594010039231,NaN,NaN
9.5,NaN,23.177269417203,NaN
15,59.9930959992079,NaN,233.752716804675
20,52.8689413387157,28.7820586530413,NaN
25,54.98038569227,NaN,297.3594048918
30,52.9550792002449,34.474644895271,NaN
35,NaN,NaN,310.643022148069
40,50.7385151681973,45.14323452405,NaN
45,44.5356948659572,NaN,394.023639085764
50,NaN,45.6296652632631,NaN
55,49.4735404870456,NaN,NaN
60,NaN,NaN,373.01771970432
65,NaN,58.5257097589037,NaN
70,58.0402744782819,NaN,345.260442856376
80,53.8053286530835,58.3607833125553,NaN
90,NaN,NaN,482.127155087672
100,NaN,63.0973128380514,512.766097070679
150,NaN,88.3822753728122,751.648170220208
200,NaN,107.071715527605,912.231407849409
