t,Rec_Obs,IL13_Rec_Obs,STAT5_Obs,SOCS3mRNA_Obs
0,1.4992605058588,9.51147778990455e-07,215.182059526148,0.8838478260927
10,NaN,NaN,NaN,8.83560202637306
15,1.02162310146037,5.27141231558908e-05,97.8038501591405,NaN
25,NaN,NaN,97.3399778221561,87.5855589639374
30,0.806245457970625,5.74226042211442e-05,NaN,NaN
35,NaN,NaN,NaN,126.951266054012
40,NaN,NaN,128.116495650165,NaN
45,NaN,9.43632186658483e-05,NaN,198.037822662513
50,1.26861872460711,NaN,NaN,NaN
55,NaN,NaN,95.4766568249732,NaN
60,NaN,7.14017201887941e-05,NaN,329.988616106344
65,1.05315648859186,NaN,NaN,NaN
70,NaN,NaN,92.5957322229873,NaN
75,NaN,8.99508918180766e-05,NaN,373.163814671493
85,0.947615664753393,NaN,NaN,NaN
90,NaN,NaN,94.1788496656749,NaN
95,NaN,8.20279444462968e-05,NaN,539.022853352668
100,0.654444860416242,0.000102979871167375,74.7775540613238,500.40635677518
150,1.24563221035555,0.000113824956630021,126.95227618705,1056.70012072737
200,0.72712432698541,0.000192482630472427,138.240538196777,1346.78835287838
250,0.784610288100395,0.00027966501750884,135.821785848711,1196.61570612027
300,0.835762513862194,0.000223864502272619,129.955986354678,1410.8673541766
