t,IL13_Rec_Obs,STAT5_Obs
0,8.69131478518492e-08,189.135806752443
10,NaN,137.460090498461
15,3.84920392996048e-05,NaN
25,3.63031965572673e-05,133.145277589541
35,NaN,135.604687307656
40,2.34247781023609e-05,NaN
50,NaN,134.82166920988
60,2.36850946046362e-05,NaN
65,NaN,92.5021908738056
75,4.62476374474634e-05,NaN
80,NaN,118.924954879076
95,4.22421758005828e-05,105.557273730645
100,4.85374627044005e-05,88.340900196208
150,6.80859529166029e-05,130.38241985034
200,8.84224840069377e-05,146.360581274256
250,0.000104264454671969,145.3147659492
300,8.66112356110521e-05,137.948522491088
