t,Naive_Obs,EarlyEffector_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,8352.09572227709,-94.4384384416946,-1570.80897655251,95.1361666809207,1.15829011240752
1.5,NaN,102.903987837237,NaN,NaN,0.853149224308308
2,3380.02925144387,NaN,-367.642771602666,NaN,NaN
2.5,NaN,NaN,NaN,23.5235594025481,NaN
3.5,NaN,-70.9646920775618,NaN,NaN,1.39081675364399
4.5,1406.3424621412,NaN,879.835654337075,NaN,NaN
5,NaN,546.382828164938,NaN,NaN,1.53614381730152
5.5,NaN,NaN,NaN,-73.3279330732312,NaN
7,553.930615614925,NaN,1657.12481111652,NaN,NaN
7.5,NaN,-394.93170878653,NaN,NaN,2.23244140715909
8.5,NaN,NaN,NaN,42.8404359920673,NaN
9.5,NaN,-167.012791471049,1052.35357080709,NaN,3.1697393259109
10,-119.897169153137,-355.263261789869,NaN,311.247727327602,3.4402171987482
15,298.257706410577,68171.6509923374,39010.2890925625,600.424399474752,12.0910291979579
20,271.474654459921,1539.75507282063,14430.0453480763,2187.89730834007,0.367720020698051
25,NaN,NaN,7170.76566974444,2764.92492259485,NaN
30,NaN,NaN,NaN,3453.75855353311,NaN
35,NaN,NaN,3086.26193926805,NaN,NaN
40,NaN,NaN,NaN,3751.76324723198,NaN
