t,Epo_Obs,Epo_EpoR_i_Obs
0,1568.83645630895,1.02809913765005
30,1777.42927182056,216.396071212146
60,1215.34344239539,239.545844954312
90,1779.31053989652,307.836150161648
100,1269.57814034898,262.593730095177
150,996.16155158805,258.860673654215
200,1208.86192521759,351.144581483359
250,749.647960555856,361.15221083386
300,759.608319115155,218.466258098288
350,284.735833269704,NaN
400,NaN,124.257125340219
450,138.303831904781,171.008642150886
550,68.498993046236,92.8054841712794
600,NaN,47.9382948303611
650,26.3001235857095,NaN
750,NaN,23.8421194864015
