t,IR_Obs,IRSiP_Obs,XXp_Obs
0,9.96686120710867,0.174200181706029,0.000194398961968266
1.5,0.182118749526678,NaN,NaN
2,NaN,4.41941596160293,NaN
3.5,0.200660948800756,NaN,NaN
4,NaN,3.2833071793315,NaN
5,-0.00332661473790991,NaN,0.00307857604651434
6.5,NaN,2.47040740020463,NaN
7,0.157695224833183,NaN,NaN
9,NaN,2.40790809239188,NaN
9.5,0.22509388661367,NaN,NaN
10,0.170409310286174,2.37578951961823,0.00287707196336869
15,0.0959632570785167,2.32052507764245,0.00276565212680713
20,0.100808398722692,2.09508705523635,0.00269837389189974
25,0.139095426642584,2.12630198749338,NaN
30,NaN,2.05446753472542,0.00253345005058409
35,NaN,1.88336501961362,0.00252915988374858
45,NaN,NaN,0.00261385836340303
60,NaN,NaN,0.00234758593224998
70,NaN,NaN,0.00213196336847565
