t,RII_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RIIp_2_Obs
0,0.405441372171192,0.000265961135206274,0.057593068528519,0.29255952848326
7.5,NaN,0.000234216256664288,NaN,NaN
9,NaN,NaN,NaN,0.308472463991842
10,0.397566614744446,NaN,NaN,NaN
15,NaN,0.000307719016482144,0.0563801782522635,NaN
20,NaN,NaN,NaN,0.310061810370386
25,0.398350052320107,0.000204744941946817,NaN,NaN
30,NaN,NaN,0.0595230065082358,0.275780831179712
35,NaN,0.000240403269105147,NaN,NaN
40,0.370804289017706,NaN,NaN,0.294927619696207
45,NaN,0.000298463308739,0.0558068097453722,NaN
50,NaN,NaN,NaN,0.280573226170064
55,0.409225164495249,0.00022276486817066,NaN,NaN
60,NaN,NaN,0.0543090114577441,0.279067786061774
65,NaN,0.00838806962092834,NaN,NaN
70,0.416939463727841,NaN,NaN,NaN
75,NaN,NaN,NaN,0.43038673111826
80,NaN,0.0053387656291093,0.054128431612605,NaN
85,0.401390559632122,NaN,NaN,NaN
90,NaN,NaN,NaN,0.431616444188772
95,NaN,0.00490826444188319,NaN,NaN
100,0.393746807163772,0.00488566846306965,0.0471020492646992,0.417741694127242
150,0.39070312037176,0.00468271542099857,0.0481376568804568,0.421157459954063
200,0.41232480014579,NaN,0.0468655241823647,NaN
250,0.402457343751633,NaN,NaN,NaN
