t,RII_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RIIp_cAMP_C_2_Obs
0,0.384125082187614,0.000395506620142998,0.0564488521137469,0.00334492145345544
8.5,0.408818545463654,NaN,NaN,NaN
10,NaN,NaN,0.0567703353068638,0.0037745260384023
15,0.415272814200675,NaN,NaN,NaN
20,NaN,0.000214608661470929,NaN,0.0027281364547725
25,0.400774744022375,NaN,0.0585299632060211,NaN
30,NaN,NaN,NaN,0.00367209484986398
40,0.40645984105068,NaN,0.0603287454990998,NaN
45,NaN,0.000258025684356977,NaN,0.00266047864620056
50,0.382809674854405,NaN,NaN,NaN
55,NaN,NaN,0.0565113168780331,0.00166174900902641
65,0.413567952740222,NaN,NaN,NaN
70,NaN,0.00792334655698957,0.0503358773114122,0.0840554894110257
80,0.377881007408811,NaN,NaN,NaN
85,NaN,NaN,NaN,0.0634899261303457
90,NaN,NaN,0.047366893804359,NaN
95,NaN,0.0057030497294453,NaN,NaN
100,NaN,0.0056684163432636,0.0464753733560345,0.0625380738431216
150,NaN,0.00554243839547136,0.0455460657931111,0.0622370057551825
200,NaN,0.00559532596933888,0.0493998492463998,0.0609499065413721
250,NaN,0.00559967151467668,NaN,NaN
300,NaN,0.00565572442942087,NaN,NaN
350,NaN,0.0054249251186709,NaN,NaN
450,NaN,0.00563581428018754,NaN,NaN
