t,Csub_H89_Obs,RII_C_2_Obs,RII_2_Obs,RIIp_cAMP_C_2_Obs
0,-0.0027395491766172,0.389993982640449,0.0564045106785156,0.00326864111884569
10,NaN,NaN,NaN,0.00229891500287592
20,0.0168480465722118,NaN,NaN,NaN
25,NaN,0.380654098890138,0.0609539998294624,0.00229435999796287
35,NaN,NaN,NaN,0.00342024619590483
45,0.0409005739734589,0.393171808521949,0.0578673408657274,NaN
50,NaN,NaN,NaN,0.00315459500947202
65,0.0640483124238283,NaN,NaN,0.0887955301371457
70,NaN,0.387447569368928,0.0563233833587857,NaN
85,NaN,NaN,NaN,0.05303759710613
90,0.0809148375005761,NaN,NaN,NaN
95,NaN,NaN,0.0575534617393306,NaN
100,0.0929862527916075,0.417276800035298,NaN,0.0517813104402114
150,0.136943722237017,0.401359006975775,0.0649128153737366,0.0505421593082511
200,0.179977540330488,0.399651618943109,0.0707845571181421,NaN
250,0.207988903421597,0.398721401729607,0.0793507836679631,NaN
300,0.257161570357477,0.389365546264932,0.0893342220815669,NaN
350,0.283935219422944,0.400616179485157,0.096310762279695,NaN
450,0.337520603128669,0.377786470360543,0.112518660435879,NaN
