t,AC_Fsk_Obs,RIIp_cAMP_2_Obs,RIIp_cAMP_C_2_Obs
0,0.00100623900276595,0.000515467515313757,0.00303059444942242
3.5,0.346161627560924,NaN,NaN
5.5,NaN,0.0103493108618985,NaN
6,NaN,NaN,0.107493941739001
7,0.343740184602684,NaN,NaN
10,0.346794606055546,0.00782161695873764,0.0818900702333134
15,0.339951526599702,0.00676740091780426,NaN
20,0.350625553666998,NaN,0.0608457060232484
25,0.345129865743329,0.00548569575172762,0.0602542514816767
30,0.343878408483818,0.00535318768907292,NaN
35,NaN,NaN,0.0628855013338931
40,NaN,0.00554681695840108,NaN
45,NaN,NaN,0.0610324187211726
50,NaN,0.00587790651837423,NaN
55,NaN,NaN,0.0602054537636901
60,NaN,0.00538304139588186,NaN
65,NaN,NaN,0.0638899085841163
75,NaN,0.00551670345013324,NaN
80,NaN,NaN,0.0568951650805116
100,NaN,NaN,0.0620291896663255
