t,AC_Fsk_Obs,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs
0,0.0303564830779458,0.000241475427147885,-0.0082562116033883,-0.0297082878680563,-0.0316125163504645,0.00268478187615785,0.277717334745736
8.5,NaN,NaN,NaN,NaN,NaN,0.00275638986897745,NaN
9,NaN,0.000249008765041763,0.000688088159970974,NaN,NaN,NaN,0.296307868128693
9.5,0.0211529668317748,NaN,NaN,0.0156725129423848,0.00673602910894129,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,0.0025395350197503,NaN
20,-0.0182681696021458,0.000234114457661319,0.00922891694352507,0.00863869174710702,-0.00581614711920236,NaN,0.276964169690399
25,NaN,NaN,NaN,NaN,NaN,0.00271855900300475,NaN
30,-0.0573529724256963,0.000250225650993814,-0.00688155909541333,-0.00930421574974668,0.0252754796072527,NaN,0.283666076205368
35,NaN,NaN,NaN,NaN,NaN,0.00256561817787029,NaN
40,0.00616572505414472,0.000248784697266634,0.0825049392107781,0.0520908355844183,-0.00541351489899964,NaN,0.286425045256461
50,NaN,0.000243124297721582,-0.00336574823947935,NaN,NaN,0.0026478867415902,NaN
55,0.0032427738014207,NaN,NaN,0.0385469285594343,0.00808670785746137,NaN,0.278377584317732
60,NaN,NaN,NaN,NaN,NaN,0.00260814403156152,NaN
65,0.0359971117170863,0.000253594498953104,-0.0295726843454885,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,0.0403748687814872,0.0271617116628173,NaN,0.286447300894416
75,NaN,NaN,NaN,NaN,NaN,0.00272854103885921,NaN
80,0.00855440063596824,0.000245357950604826,0.00789961914471183,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,-0.03184566454253,-0.00442996353886585,NaN,0.300491186125464
95,NaN,0.000245384771816446,NaN,NaN,NaN,0.00271151789972055,NaN
100,0.0235060814417666,0.000237052268208554,-0.00474598746047215,-0.00844159028554908,0.0558315836055288,0.0026127906189533,NaN
150,0.0122181002251547,NaN,NaN,0.0596637096621494,-0.0166832105420847,NaN,NaN
200,-0.0427663317907722,NaN,NaN,NaN,NaN,NaN,NaN
