t,AC_Fsk_Obs,RII_C_2_Obs,RII_2_Obs,RIIp_cAMP_C_2_Obs
0,0.000448431476231072,0.406587225601351,0.0567883352700598,0.00277608591459693
9.5,0.000155902979057882,NaN,0.0585343733372053,NaN
10,NaN,0.400112767324732,NaN,0.00287191215933362
20,0.000179672156719041,NaN,0.0570642039668862,0.00332470255701355
25,NaN,0.389921320292292,NaN,NaN
30,0.000309417208125216,NaN,0.0591993760600863,NaN
35,NaN,NaN,NaN,0.00303593984030064
40,NaN,0.392282426057047,0.0592657482719125,NaN
45,-0.000125915536284675,NaN,NaN,0.00241426334743524
55,NaN,0.405324628992747,0.0580855974719916,NaN
60,-0.00051134409745886,NaN,NaN,0.00244150297420323
65,NaN,NaN,0.0550791999274742,NaN
70,NaN,0.403204087480437,NaN,NaN
75,0.0515280484920582,NaN,NaN,0.0446242170230655
80,NaN,NaN,0.0511175527364237,NaN
95,0.0508926752877865,0.37307830038537,NaN,0.0393356827047493
100,0.0506649985386158,NaN,0.0500346586521099,0.0375175901476943
150,NaN,NaN,0.0516999277254023,0.0373163104060662
