t,RII_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RIIp_cAMP_C_2_Obs
0,0.401138066667806,0.00020693454529557,0.0596570497525778,0.00386780062424475
4.5,NaN,0.000309467194995435,NaN,NaN
8,NaN,NaN,NaN,0.00281702285057145
9,0.411458453267572,-7.60590080758647e-05,NaN,NaN
15,NaN,0.0108437937732689,0.0515335737366393,0.114710402477164
20,0.417163140495204,0.00782200240880502,NaN,NaN
25,NaN,0.00653261511924821,NaN,0.0717564201685012
30,0.37885585559762,0.00591970896403692,NaN,NaN
35,NaN,0.00586494444076205,0.0495905014368272,0.0608187929900799
40,0.402195389046948,NaN,NaN,NaN
45,NaN,0.00536170433881967,NaN,NaN
50,0.408722193944878,NaN,0.0458688597304243,0.0607140150812887
55,NaN,0.00549411919438177,NaN,NaN
65,0.416431750970509,0.00565640631790844,NaN,0.0611121736928103
70,NaN,NaN,0.049040910560157,NaN
80,0.422995228035415,NaN,NaN,NaN
90,NaN,NaN,0.0478828460293006,NaN
95,0.410754280985484,NaN,NaN,NaN
100,0.419387463769769,NaN,0.0492795695098092,NaN
150,0.405380849804574,NaN,0.0483740280545422,NaN
200,NaN,NaN,0.0477362526698543,NaN
250,NaN,NaN,0.0458616760988268,NaN
300,NaN,NaN,0.0490590510660353,NaN
