t,Csub_H89_Obs,RII_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,0.00266413838249314,0.396900379621771,0.000289777075828001,0.0692345181846461
20,0.102229365858071,NaN,NaN,NaN
25,NaN,0.383060010317812,0.000147980991264545,0.0702551392895952
45,0.192518326334411,NaN,NaN,NaN
50,NaN,0.379019011817705,0.000366259223710307,0.0938907251691622
65,0.257720528511628,NaN,NaN,NaN
75,NaN,0.382570127605985,NaN,0.101258713166578
80,NaN,NaN,0.00465701808952817,NaN
90,0.350102880405714,NaN,NaN,NaN
100,0.370156743013507,0.358234972057757,0.0039051189911649,0.118619790473782
150,0.488661481831672,0.349197668083877,0.00343016276666295,0.181338010572913
200,0.558231576050943,0.314168946243856,0.0033875680212269,0.24355848634035
250,0.580253010825183,0.279262999758853,0.00315099978519484,0.301864252136996
300,0.620898070423281,0.275884225824478,0.00285283482365601,0.359222674918858
350,0.653528178259488,0.236541442031218,0.00246720576272481,0.397234966009981
450,0.700450682220929,0.222271271642958,NaN,0.485777819555971
