t,AC_Fsk_Obs,RII_C_2_Obs,RII_2_Obs,RIIp_2_Obs
0,0.016839738692232,0.391763192487726,0.0583837469615065,0.285476804482134
6,NaN,NaN,NaN,0.302664818815278
7,NaN,NaN,0.0561685402260513,NaN
9,NaN,0.378827294407387,NaN,NaN
10,-0.0347928893385173,NaN,NaN,NaN
15,NaN,NaN,0.0557844434840558,0.315412835055442
20,-0.00451566185623668,0.406971391468779,0.0523435510350233,0.339043294452221
25,NaN,NaN,NaN,0.329780363910435
30,0.03155656776555,0.398929454542367,0.0524607000553225,NaN
35,NaN,NaN,NaN,0.360123263605118
40,NaN,0.401470151953986,0.0520192311586975,NaN
45,0.00699418903624392,NaN,NaN,0.349349073663342
50,NaN,0.389780578125425,NaN,NaN
55,NaN,NaN,0.0538843262234113,0.338776692010901
60,0.0181889736925988,0.401320221251077,NaN,NaN
65,NaN,NaN,NaN,0.340505517366428
75,0.0188324998369216,0.396714994804262,NaN,NaN
80,NaN,NaN,NaN,0.335179890341146
90,NaN,0.394326960859758,NaN,NaN
95,-0.0029773592577827,NaN,NaN,0.337185049260291
100,0.000816884371557532,0.402218268284716,NaN,NaN
150,-0.0123105081909209,0.41597503557746,NaN,NaN
