t,AC_Fsk_Obs,RII_C_2_Obs,RII_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs
0,-0.00996361381793875,0.404793090389433,0.0556563193300448,1.58851733760235e-05
8.5,NaN,0.385826140206443,NaN,-3.4798722804531e-05
15,-0.0298164449845854,0.375068889864626,0.0525908372280597,0.00221749410466166
25,NaN,0.381860253741168,NaN,0.0012385862628442
35,0.0183940205015249,0.4179144556274,0.0446594173695438,NaN
40,NaN,NaN,NaN,0.00108800968246842
45,NaN,0.38577704616578,NaN,NaN
50,NaN,NaN,NaN,0.0010863973486859
55,0.052697156284905,NaN,0.0489911532098406,NaN
60,NaN,0.433137268291754,NaN,NaN
65,NaN,NaN,NaN,0.00106491154626559
75,-0.015285504667548,0.421286433152869,0.0482223300251099,NaN
90,NaN,0.410422326002942,NaN,NaN
100,0.00806090106700393,0.421793411181302,0.0466557586233053,NaN
150,-0.00740862716181619,0.403123625394488,0.0471016702948523,NaN
200,0.0263593832045014,NaN,0.0469412547463929,NaN
250,NaN,NaN,0.048101034595403,NaN
300,NaN,NaN,0.0499964120044195,NaN
