t,RII_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,RIIp_2_Obs
0,0.389014257466382,0.000292567103802549,0.0561203262701065,0.301378457303132
8,0.385028624657818,NaN,NaN,0.322535752080515
8.5,NaN,0.00243310233564843,NaN,NaN
15,0.395426740093546,0.012053305585998,0.0485302655787487,0.433551181884052
25,0.397939234540178,0.00652319051196884,NaN,0.503002589978044
30,NaN,NaN,0.0465150742191921,NaN
35,0.401337076124382,0.0060243619432774,NaN,NaN
40,NaN,NaN,NaN,0.45494501605912
45,0.414816819792415,0.00629142492654452,NaN,NaN
50,NaN,NaN,0.046285766436972,0.480758433869601
55,0.40643890631596,NaN,NaN,NaN
60,NaN,0.00607653457932869,NaN,NaN
65,NaN,NaN,0.0481874669716059,NaN
70,0.427502103715115,NaN,NaN,0.473176784518833
75,NaN,0.00621644269374049,NaN,NaN
85,0.414600341550516,NaN,0.045797220647528,NaN
90,NaN,0.00629436354321332,NaN,NaN
100,0.381664011247321,0.00588251855860943,0.0473516372292553,NaN
150,NaN,0.00622202124338241,0.047193755392743,NaN
200,NaN,NaN,0.0475336365355948,NaN
250,NaN,NaN,0.0451093159585913,NaN
300,NaN,NaN,0.0453495215474937,NaN
