t,Csub_H89_Obs,RII_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs
0,-0.0101456902044679,0.410866475861907,0.000323572399354007,0.0578288564184461
20,0.0407420238006888,NaN,0.000350569466314371,0.0641280607702538
25,NaN,0.390264641823694,NaN,NaN
40,0.0794795215929184,NaN,0.000175159427998265,NaN
45,NaN,0.380014847695007,NaN,0.0750360642388109
60,0.117300447009864,NaN,0.000287982558096554,NaN
70,NaN,0.379911284447707,NaN,0.0606596804209069
85,0.16454291472325,NaN,0.00463737295705125,NaN
95,NaN,0.385073168581532,NaN,0.0681551884206839
100,0.199561549952228,NaN,0.00450954656903912,0.0752443858304521
150,0.259270979058109,0.373086459098869,0.00417083408444635,0.0915548014918305
200,0.35089170964469,0.368029671033728,0.00403481975850712,0.125359474159985
250,0.413894780062048,0.358829867052232,0.00403744420335811,0.146934319549117
300,0.436659031279841,0.333034959183087,0.0037743961846835,0.17236219727201
350,0.477733388351758,0.33846644467536,0.00351572061367028,0.195193365147613
450,0.546750017634558,0.325600959798437,NaN,0.24878826769203
