t,AC_Fsk_Obs,RII_C_2_Obs,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs,RII_2_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_2_Obs
0,0.00744501747692946,0.39734912964617,0.000244165705206977,0.0590034208889092,0.0555512544350297,-0.0012941766740398,0.290494648069608
3,NaN,NaN,NaN,4.93957973005516,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,NaN,0.150750300857974,NaN
6,NaN,NaN,1.75094567338989e-05,6.83534960886259,0.0521158070878722,NaN,NaN
7,NaN,0.404888744943417,NaN,NaN,NaN,NaN,0.412319916472299
8.5,NaN,NaN,NaN,NaN,NaN,0.103964058973733,NaN
9,0.0106576208796151,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,9.11147873635307,NaN,NaN,NaN
10,NaN,NaN,9.72423431986211e-06,NaN,NaN,NaN,NaN
15,NaN,0.423684266198589,NaN,9.72160428119377,0.0461781347275779,0.0793547959654246,0.479839376687445
20,-0.0123914297093295,0.409058901195968,5.0999665262906e-06,9.90062398924502,0.0464765542157231,0.0682532163843554,NaN
25,NaN,NaN,4.33439406613192e-06,NaN,NaN,0.0718459628475804,0.467207960291563
30,-0.00917648970776497,0.414666189616296,NaN,10.0076929640566,0.0456302361264864,0.0667623804426175,NaN
35,NaN,NaN,5.67303061091558e-06,9.61471450967749,0.0481198217224387,0.066541622730434,0.490002895357356
40,0.0141181555016853,0.410898163927352,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,5.73560179197467e-06,9.70657626308598,0.04730918644194,0.0676247127771376,0.45889713333079
50,-0.00244433898462348,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,0.40528330661827,NaN,NaN,NaN,0.0650999337880843,NaN
60,NaN,NaN,NaN,NaN,0.0467487679114616,NaN,0.483720037850042
65,0.00802705348523446,NaN,NaN,NaN,NaN,0.0688639272231102,NaN
85,-0.0226709506531836,NaN,NaN,NaN,NaN,NaN,NaN
100,-0.0275359685635873,NaN,NaN,NaN,NaN,NaN,NaN
150,-0.00771138741143835,NaN,NaN,NaN,NaN,NaN,NaN
