t,AC_Fsk_Obs,Csub_H89_Obs,RII_C_2_Obs,RII_2_Obs
0,0.039298679785733,-0.0244200679288311,0.39078008807772,0.0556220057788479
10,-0.0506449025466073,NaN,NaN,NaN
20,NaN,0.0931413961516606,0.387620364429385,0.0749951398958031
25,0.00276570174731518,NaN,NaN,NaN
40,-0.046282396522294,NaN,NaN,NaN
45,NaN,0.195934410317318,0.394441489707832,0.0925785533547267
55,-0.011916982424558,NaN,NaN,NaN
70,-0.0230145865770869,0.245615914272161,0.368377494072853,0.120189164676536
90,0.0419176400500763,NaN,NaN,NaN
95,NaN,0.300058452799014,0.362512713132032,0.154104938825292
100,-0.0283026919420188,0.314867156145045,NaN,0.158137794068096
150,-0.0372448651715561,0.388510990112538,0.334295550790509,0.21484610606421
200,NaN,0.45139055904416,0.291185082105667,0.257686228492651
250,NaN,0.507602023767147,0.29301067423549,0.298333391556766
300,NaN,0.525356541218855,0.271402346574496,0.340387428025918
350,NaN,0.540242972961089,0.250144770539584,0.37267215403211
450,NaN,0.591030948625177,0.231071723163812,0.435290527962179
