t,RII_C_2_Obs,RII_2_Obs,RIIp_cAMP_C_2_Obs,RIIp_2_Obs
0,0.401077547575691,0.0558610200368765,-0.000747389565256266,0.298067826919514
2,0.375895911829265,0.0531065247271548,NaN,NaN
2.5,NaN,NaN,0.181158313282645,0.348920610746704
4,NaN,0.052093670579301,NaN,NaN
4.5,0.411307898242303,NaN,0.142040375564043,NaN
5,NaN,NaN,NaN,0.396597196271584
6,NaN,0.0478701118387032,NaN,NaN
6.5,0.394569109389139,NaN,NaN,NaN
7,NaN,NaN,0.115185309581676,NaN
7.5,NaN,NaN,NaN,0.426645706652605
8,NaN,0.0486797389408665,NaN,NaN
9,0.391322123802686,NaN,NaN,NaN
10,0.369434307541535,0.0481738759691553,0.0915026696850018,0.437794360636615
15,0.405661195631959,0.0453096947328777,0.0811517386684921,0.46980215573882
20,0.401957696648698,0.0450112154119816,0.0704030084048997,0.472658384078291
25,0.398338407724159,0.0470281840225374,0.0713351193450402,0.478012578923079
30,0.397654405471412,0.0447821263305297,0.0683507911351234,0.474005397484703
40,0.426224877204823,0.0453162566791129,0.0697247163339059,0.480536119028857
