t,Akt_Obs,pAkt_Obs,S6_Obs
0,0.0446881421447902,-0.000142352483450149,106.981212245773
150,NaN,NaN,126.041780932137
250,NaN,0.0225592619401866,NaN
300,0.0220171498337795,NaN,NaN
350,NaN,NaN,97.3378739810925
500,NaN,0.00574832834458815,124.068156330089
650,0.0379319170692113,NaN,NaN
700,NaN,NaN,110.252730572881
750,NaN,0.00110413663863,NaN
950,NaN,NaN,110.396541747328
1000,0.0412076692618236,1.43409300472716e-05,103.458798526175
1500,0.0425803180783554,0.000547955195764035,114.019797962877
2000,0.0369085120378797,9.80354474777251e-05,100.854639330916
2500,0.0400104416142805,0.000245427313786429,103.618119032773
3000,0.0348733614299514,2.01513715644762e-06,99.3662679884862
3500,0.0446795990727094,NaN,NaN
4000,0.0435073861128347,NaN,NaN
5000,0.0434386795940188,NaN,NaN
