t,Akt_Obs,pAkt_Obs,S6_Obs
0,0.0422119304117,-0.000126919894984264,115.996125522302
150,NaN,NaN,103.348383706467
250,0.0215495424026961,0.015802773186166,NaN
300,NaN,NaN,102.641919449242
500,0.0389157688547364,0.00108550181770938,107.879686083614
700,NaN,NaN,119.593145132498
750,0.0332724766905957,0.000364082150685142,NaN
900,NaN,NaN,105.124357165324
1000,0.0428582083103617,0.000630895279682716,107.602673195788
1500,0.0431628719424285,0.000367131277512241,111.346120967175
2000,0.038842196034941,0.000381944601093812,105.718069131344
2500,0.0386332897493627,0.000303856551887774,107.08382722908
3000,0.0442902485878015,NaN,110.935436181231
