t,Akt_Obs,pAkt_Obs,S6_Obs
0,0.0373909307717325,-0.000118337996773938,110.175907329357
65,NaN,NaN,116.064707559849
150,NaN,NaN,97.0631928534044
200,NaN,NaN,116.387548283826
300,0.0219214618764873,NaN,109.590298760248
350,NaN,NaN,103.212130965666
400,NaN,0.0140980971577906,NaN
450,NaN,NaN,104.59680203533
600,0.0344637818669859,NaN,93.5121015362668
700,NaN,NaN,117.607926401664
800,NaN,0.00308307006958107,NaN
850,NaN,NaN,100.886704817573
950,0.0386467619292353,NaN,NaN
1000,NaN,0.00164404610494591,108.777400429022
1500,0.0437105779026131,0.000164326021227257,NaN
2000,0.0388651094535768,0.000107729235067948,NaN
2500,0.0395997886834314,NaN,NaN
3000,0.0457484653135081,0.000107501919092933,NaN
3500,NaN,0.000188948912452874,NaN
4000,0.0404836259324929,NaN,NaN
4500,NaN,-5.80679942530311e-05,NaN
5000,0.0421932896744391,-6.12141441496027e-05,NaN
