t,Akt_Obs,pAkt_Obs,S6_Obs
0,0.0434720793046307,0.000133112803938043,117.411911922607
200,NaN,NaN,107.148294871755
300,0.0330901031614567,NaN,NaN
350,NaN,0.00825368911254747,NaN
450,NaN,NaN,110.134076283174
600,0.037707750633914,NaN,NaN
650,NaN,NaN,97.3052894895099
700,NaN,0.000352314887328121,NaN
900,0.0392146122944884,NaN,94.7520592704295
1000,NaN,0.000200695945313552,104.78460090892
1500,0.0435886327066394,5.69308664080799e-05,111.800500206539
2000,0.038272252357486,0.000202282744670194,116.112148982075
2500,0.0463126843957602,0.000137419837249065,102.532667726944
3000,NaN,NaN,102.743865986308
3500,0.0406573956373897,0.00030451514866116,NaN
4000,0.0380149596861816,NaN,87.1013351342557
