t,Akt_Obs,pAkt_Obs,S6_Obs
0,0.0430098123779502,-9.75138270193184e-05,113.484895481261
95,NaN,NaN,96.0252892664369
200,NaN,NaN,111.694827621174
300,NaN,NaN,103.919698375648
400,NaN,0.00487699433964854,115.190260875656
450,0.0325175386416817,NaN,NaN
550,NaN,NaN,109.964362526438
700,NaN,NaN,101.103744912144
800,NaN,0.00241559954819347,NaN
900,0.0396890124371302,NaN,92.3552080328893
1000,NaN,0.00157765092928474,104.581040930819
1500,0.0412837524507164,0.00061734037391902,104.245642745585
2000,0.0447561287925152,NaN,NaN
2500,0.0396287764550388,0.000127814242517032,NaN
3000,0.0437764064350708,1.58598174733425e-05,NaN
3500,NaN,-4.73792487101631e-05,NaN
4000,0.0446395724220598,NaN,NaN
4500,NaN,-5.89957516399893e-05,NaN
5000,0.046031495655063,NaN,NaN
5500,NaN,0.000108895364419026,NaN
6000,0.0438064960310461,NaN,NaN
7500,0.0417502794893577,NaN,NaN
