t,Akt_Obs,pAkt_Obs,S6_Obs
0,0.0418214304400079,-0.000132289836507326,98.2716097445993
70,NaN,NaN,102.579174241603
150,NaN,NaN,106.947743886751
200,NaN,NaN,88.0964602355395
300,NaN,NaN,99.4564718053606
400,NaN,0.00995846359863133,104.582255953332
450,0.0314176344542615,NaN,NaN
500,NaN,NaN,115.438247357872
650,NaN,NaN,93.406244120114
800,NaN,0.00427889759921227,107.196464398896
900,0.0358915858709321,NaN,NaN
950,NaN,NaN,109.970457815593
1000,NaN,0.00245933190987903,98.2363043564056
1500,0.0364223664718282,0.000730621930106239,NaN
2000,0.0378960449655174,0.000145006943894697,NaN
2500,0.0444253284526841,NaN,NaN
3000,NaN,3.78362606410693e-05,NaN
3500,0.0389789166306666,0.000210851665711467,NaN
4000,0.044105988350565,NaN,NaN
4500,NaN,7.77968278335054e-05,NaN
5000,0.0407841066386993,NaN,NaN
5500,NaN,-5.64845901938435e-05,NaN
6500,0.0410847093763506,NaN,NaN
