t,nSTAT3_Obs,nSTAT4_Obs,nSTAT5_Obs
0,-0.00543619868620773,0.00270155041405418,0.00847962726142284
4.5,0.088664059071428,0.0612156986667968,0.0630365537834756
9,0.239291233793006,0.243841300602296,NaN
9.5,NaN,NaN,0.247732964957932
15,0.225353442141104,0.220963738305615,0.217509950395052
20,0.202440316420585,0.203167904279706,0.21927340256839
25,0.194965214171182,0.196521564927816,0.210725038832141
30,0.16903762200148,0.173703514940471,NaN
35,NaN,NaN,0.15963591547327
40,0.0858182388672555,0.0967838741244797,0.110645690417335
45,NaN,0.0384539054242433,NaN
50,0.033597847930668,NaN,0.0241805991172008
55,NaN,-0.00806389392875844,NaN
60,0.00841266712625768,NaN,NaN
65,NaN,NaN,-0.000741900872691195
70,NaN,0.0091660326198117,NaN
75,0.0074769799404568,NaN,0.0254363317651035
80,NaN,0.00619626508825117,NaN
