t,Rec1_Obs,Rec2_Obs
0,95.4154015557491,485.718239015933
8,NaN,462.388644824403
9,32.6309294660944,NaN
15,NaN,401.890581435487
20,33.7597595162682,NaN
25,NaN,444.705849449207
30,35.2727449729003,NaN
35,NaN,448.938544610228
40,37.109864470174,NaN
45,NaN,420.872888667461
50,46.6389181138598,NaN
55,NaN,264.313658896128
65,49.2966538936451,NaN
70,NaN,431.98387189922
80,26.6694068064183,NaN
85,NaN,348.326173914787
100,29.9186450913472,340.775691164767
150,32.7856760745278,406.27119978631
200,38.6798243781592,464.9556441708
