t,Rec1_Obs,Rec2_Obs,Uptake2_Obs
0,47.9575440211759,782.162284314018,0.0707932616156698
8,NaN,522.731094442352,NaN
8.5,47.5246255102121,NaN,NaN
10,NaN,NaN,3.96190162297772
15,57.5420548509529,478.316153301,NaN
20,NaN,NaN,5.62243827372003
25,43.638707744863,405.284840532208,NaN
30,NaN,NaN,8.22422378945866
35,77.6374224311326,543.972090850806,NaN
40,NaN,NaN,13.8418702173197
45,76.8528578932674,704.426834977227,NaN
55,NaN,448.879003573301,8.29893944672459
60,44.1530360731293,NaN,NaN
70,77.2236695456557,383.440267293635,13.6886262069171
85,73.0574931375035,446.31742868942,12.0911684891291
100,54.7560514450155,465.313081658893,24.6834958359292
150,50.1737611596698,319.02401844908,17.8847383873727
200,50.8782835000672,426.357719685994,18.0938252058449
