t,Rec1_Obs,Rec2_Obs,Uptake2_Obs
0,75.3716672062835,393.64636104145,0.55656681178472
3.5,12.8361347217849,313.915521030287,NaN
6.5,15.6559249719317,NaN,NaN
7,NaN,258.006660733373,NaN
9,NaN,NaN,319.273026626672
10,8.48155826497618,179.393776899941,NaN
15,10.2220759678808,244.361029600035,NaN
20,8.5458429170634,165.715347021333,443.864870614256
25,5.66282607921436,154.241844742172,NaN
30,13.591511872267,136.54083988648,526.442718751498
35,8.75964637659856,145.858206115523,NaN
40,10.3102165607598,NaN,402.044288278323
45,NaN,151.777951279117,NaN
50,7.48612577780409,NaN,418.231711883741
55,NaN,129.28996380952,NaN
60,10.8841819875953,NaN,NaN
65,NaN,113.753596054816,541.220596432186
80,NaN,NaN,473.1923535324
95,NaN,NaN,506.519710901157
100,NaN,NaN,505.402358838972
150,NaN,NaN,711.108059509382
200,NaN,NaN,1060.38062685523
