t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,8414.43181248937,7406.81534836911,-4.94324268354033
2.5,1314.7999319032,NaN,NaN
3,NaN,NaN,-978.689019472593
3.5,NaN,466.863841709456,NaN
4.5,307.237478767721,NaN,NaN
6,NaN,NaN,424.489039597107
7,NaN,201.099410036731,NaN
7.5,218.840562549749,NaN,NaN
9.5,NaN,NaN,1249.23277836552
10,603.537440342141,1248.5595842698,NaN
15,12437.0055618124,6408.44593848674,17534.5800125475
20,6898.50750130297,15127.4656371955,22061.1908545822
25,NaN,10694.4973414067,13466.6299892118
30,1945.41852243302,7251.59691535769,NaN
35,NaN,NaN,9137.4201728355
40,NaN,4129.00579112062,9009.10415375765
45,NaN,3541.60658455043,NaN
50,NaN,NaN,6176.16306248849
55,NaN,2515.27182783488,NaN
70,NaN,1600.07329603742,NaN
