t,IR2_Obs,Uptake1_Obs
0,0.885917810249432,0.913875214697041
3.5,240.907771893627,NaN
7,115.429580534933,NaN
9.5,NaN,57.2667844746665
10,122.785367960204,NaN
15,84.8497665690064,NaN
20,173.734552263308,74.7532747061306
25,104.756958746932,NaN
30,68.6426217574245,98.9164095342001
40,57.183392105296,146.612497259658
45,70.344252895203,NaN
50,NaN,95.7443010030135
60,131.31349502049,NaN
65,NaN,95.0987105521162
80,NaN,50.9941824318569
100,NaN,460.451577234402
150,NaN,401.289736138576
200,NaN,465.910911445837
