t,Y_protein_Obs,Z_protein_Obs,GFP_Obs,Y_mRNA_Obs
0,1751.70175810267,56.557043646966,-5.42626444642065,1022.45575862862
20,NaN,NaN,NaN,-4.12019116282228
30,6620.30374398174,NaN,NaN,NaN
35,NaN,3300.3415629671,NaN,NaN
40,NaN,NaN,NaN,-13.0206436188089
60,NaN,NaN,5.04542742017479,-6.04551053501714
65,1336.08993922253,NaN,NaN,NaN
70,NaN,890.33714157119,NaN,NaN
80,NaN,NaN,NaN,11.208724141353
100,598.343190664739,255.157250149927,40.4901949602666,11.17331014001
150,161.777186877506,1337.10922215993,NaN,5.22158365350229
200,945.031889243559,318.284890575216,95.2153454144798,1.55927645559048
250,345.789388906685,1363.16806841003,93.2865649608384,16.0934409243326
300,820.690468494599,NaN,141.008086629085,-3.46121306495822
350,NaN,1459.46907408826,NaN,NaN
400,1639.89279144514,303.731402014462,184.511553808353,NaN
500,NaN,NaN,189.630450823804,NaN
650,NaN,NaN,145.482784280547,NaN
800,NaN,NaN,129.16082289574,NaN
950,NaN,NaN,160.826238982439,NaN
1000,NaN,NaN,238.445455278991,NaN
1500,NaN,NaN,247.843659005761,NaN
